Country,Region,Flaccid Length (cm),Erect Length (cm),Flaccid Circumference (cm),Erect Circumference (cm),Flaccid Volume (cm³),Erect Volume (cm³),Growth Length ,Growth Circumference ,Growth Volume ,N ,Method
Sudan,Africa,11.4,17.95,10.6,13.08,101.93,244.38,1.574561404,1.233962264,2.397527715,250,Self reported
Suriname,South America,8.4,13.34,10,12.86,66.85,175.56,1.588095238,1.286,2.62617801,600,Self reported
Sweden,Europe,9.8,15.36,10.2,12.78,81.14,199.64,1.567346939,1.252941176,2.460438748,1000,Self reported
Switzerland,Europe,9.7,14.25,10.2,12.83,80.31,186.66,1.469072165,1.257843137,2.324243556,200,Self reported
Taiwan,Asia,8.5,12.5,10.1,12.61,69,158.17,1.470588235,1.248514851,2.292318841,300,Self reported
Tanzania,Africa,8.4,11.5,9.3,11.49,57.81,120.82,1.369047619,1.235483871,2.089949836,253,Measured
Thailand,Southeast Asia,6.9,9.43,8.4,10.83,38.74,88.02,1.366666667,1.289285714,2.272070212,1800,Measured
Tonga,Pacific Islands,9,12.94,8.9,11.31,56.73,131.72,1.437777778,1.270786517,2.321875551,65,Measured
Tunisia,Africa,9.9,14.61,10,12.36,78.78,177.61,1.475757576,1.236,2.25450622,462,Measured
Turkey,Western Asia,9.3,13.7,8.6,11.19,54.74,136.51,1.47311828,1.301162791,2.49378882,2276,Measured
Turkmenistan,Western Asia,9.2,13.48,8.2,10.65,49.23,121.67,1.465217391,1.298780488,2.471460492,96,Measured
United Arab Emirates,Western Asia,8.5,12.54,8.8,11.44,52.38,130.6,1.475294118,1.3,2.49331806,496,Self reported
Ukraine,Europe,9.7,14.2,9.8,12.28,74.13,170.4,1.463917526,1.253061224,2.298664508,175,Self reported
United Kingdom,Europe,9.7,14.3,9.8,12.22,74.13,169.93,1.474226804,1.246938776,2.292324295,1024,Measured
United States,North America,9.6,14.15,9.7,12.23,71.88,168.42,1.473958333,1.260824742,2.343071786,1661,Self reported
Uruguay,South America,9.2,14.67,9.8,12.57,70.31,184.46,1.594565217,1.282653061,2.623524392,861,Self reported
Uzbekistan,Western Asia,9.1,13.43,9.2,11.92,61.29,151.85,1.475824176,1.295652174,2.477565671,236,Measured
Venezuela,South America,10.6,16.93,10.2,13.03,87.76,228.74,1.597169811,1.27745098,2.606426618,4610,Measured
Vietnam,Southeast Asia,7.4,10.15,8.9,11.55,46.64,107.75,1.371621622,1.297752809,2.310248714,365,Measured
Yemen,Western Asia,8.6,12.7,8.4,10.89,48.29,119.85,1.476744186,1.296428571,2.481880306,70,Measured
